Date,Value
2020-05-18,166
2020-05-25,166.2
2020-06-01,165.4
2020-06-08,168.2
2020-06-15,167.6
2020-06-22,169
2020-06-29,166.6
2020-07-06,167.6
2020-07-13,167.2
2020-07-20,167
2020-07-27,167
2020-08-03,167.8
2020-08-10,167.8
2020-08-17,170.4
2020-08-24,165.8
2020-08-31,168.6
2020-09-07,168.8
2020-09-14,169.4
2020-09-21,169.8
2020-09-28,172.6
2020-10-05,171.6
2020-10-12,170
2020-10-19,170
2020-10-26,170.8
2020-11-02,171.8
2020-11-09,171.2
2020-11-16,171.2
2020-11-23,172.8
2020-11-30,172.6
2020-12-07,171.2
2020-12-14,170.4
2020-12-21,170
2020-12-28,169
2021-01-04,168.6
2021-01-11,168.4
2021-01-18,168.4
2021-01-25,166.6
2021-02-01,166.8
2021-02-08,166.6
2021-02-15,166.4
2021-02-22,166.8
2021-03-01,167
2021-03-08,165.8
2021-03-15,168.8
2021-03-22,167.4
2021-03-29,165.2
2021-04-05,163.4
2021-04-12,164.2
2021-04-19,164.2
2021-04-26,161.6
2021-05-03,161
2021-05-10,163.2
2021-05-17,162
2021-05-24,161.2
2021-05-31,162.4
2021-06-07,163.8
2021-06-14,161.8
2021-06-21,164
2021-06-28,163.2
2021-07-05,164.2
2021-07-12,163.2
2021-07-19,164.8
2021-07-26,163.4
2021-08-02,162.2
2021-08-09,161
2021-08-16,161.6
2021-08-23,161.8
2021-08-30,162.8
2021-09-06,161.6
2021-09-13,159.4
2021-09-20,159.4
2021-09-27,160.2
2021-10-04,161.4
2021-10-11,160
2021-10-18,159
2021-10-25,162.2
2021-11-01,161.8
2021-11-08,164.2
2021-11-15,162
2021-11-22,165.6
2021-11-29,163.8
2021-12-06,163.8
2021-12-13,164.8
2021-12-20,166
2021-12-27,165
2022-01-03,164.2
2022-01-10,162.4
2022-01-17,162.4
2022-01-24,164
2022-01-31,164.4
2022-02-07,163
2022-02-14,161.8
2022-02-21,161.6
2022-02-28,161.6
2022-03-07,160
2022-03-14,160.8
2022-03-21,162.2
2022-03-28,163.2
2022-04-04,162.8
2022-04-11,165
2022-04-18,164.6
2022-04-25,164.8
2022-05-02,161.8
2022-05-09,163.6
2022-05-16,164.4
2022-05-23,164
2022-05-30,165.4
2022-06-06,166.6
2022-06-13,167.2
2022-06-20,163.6
2022-06-27,165
2022-07-04,163.4
2022-07-11,162.2
2022-07-18,159.8
2022-07-25,158.6
2022-08-01,158.8
2022-08-08,158.6
2022-08-15,154.6
2022-08-22,154.2
2022-08-29,153.4
2022-09-05,155.8
2022-09-12,156.2
2022-09-19,155.8
2022-09-26,158.6
2022-10-03,156
2022-10-10,155.6
2022-10-17,154.2
2022-10-24,155.6
2022-10-31,153.6
2022-11-07,154.6
2022-11-14,153.4
2022-11-21,155.2
2022-11-28,156.6
2022-12-05,156.4
2022-12-12,158.5
2022-12-19,160.6
2022-12-26,163
2023-01-02,161.4
2023-01-09,161.2
2023-01-16,157.8
2023-01-23,159
2023-01-30,161.2
2023-02-06,158
2023-02-13,159
2023-02-20,159.8
2023-02-27,156
2023-03-06,157.6
2023-03-13,159.2
2023-03-20,159.2
2023-03-27,160
2023-04-03,159
2023-04-10,158.4
2023-04-17,159.2
2023-04-24,160.2
2023-05-01,159.8
2023-05-08,160
2023-05-15,157.8
2023-05-22,157.6
2023-05-29,160.8
2023-06-05,160.2
2023-06-12,159
2023-06-19,159
2023-06-26,161.6
2023-07-03,159.6
2023-07-10,162
2023-07-17,158.8
2023-07-24,165.4
2023-07-31,159.8
2023-08-07,161.8
2023-08-14,159.6
2023-08-21,159
2023-08-28,157.6
2023-09-04,156.6
2023-09-11,156.2
2023-09-18,154
2023-09-25,155.6
2023-10-02,156
2023-10-09,154.6
2023-10-16,155.4
2023-10-23,156.2
2023-10-30,154
2023-11-06,152.2
2023-11-13,154.4
2023-11-20,154
2023-11-27,155.8
2023-12-04,154.8
2023-12-11,156.4
2023-12-18,157.6
2023-12-25,157.8
2024-01-01,158.2
2024-01-08,157
2024-01-15,157.8
2024-01-22,156
2024-01-29,156.6
2024-02-05,157.4
2024-02-12,156.8
2024-02-19,156.8
2024-02-26,155.8
2024-03-04,157
2024-03-11,158
2024-03-18,158.8
2024-03-25,157.6
2024-04-01,157.8
2024-04-08,157.8
2024-04-15,157.4
2024-04-22,159.4
2024-04-29,159.4
2024-05-06,159.4
2024-05-13,156.6
2024-05-20,157.8
2024-05-27,157.8
2024-06-03,157.8
2024-06-10,157.6
2024-06-17,159.6
2024-06-24,158.6
2024-07-01,155.8
2024-07-08,157
2024-07-15,158.6
2024-07-22,158.4
2024-07-29,160.2
2024-08-05,159.6
2024-08-12,159.2
2024-08-19,159.4
2024-08-26,160.2
2024-09-02,158.4
2024-09-09,158.2
2024-09-16,158.8
2024-09-23,159.6
2024-09-30,160.6
2024-10-07,160
2024-10-14,157.2
2024-10-21,158.8
2024-10-28,159.8
2024-11-04,160.8
2024-11-11,158.4
2024-11-18,159.2
2024-11-25,159
2024-12-02,160.4
2024-12-09,159.2
2024-12-16,160.4
2024-12-23,160.8
2024-12-30,160.8
2025-01-06,161.8
2025-01-13,160.6
2025-01-20,160.8